macro_id,macro_name_ko,macro_name_en,macro_type
M_047,자율주행테마,Autonomous Farming Theme,Technology
M_048,농업보조금,Agricultural Subsidy,Policy
M_049,재건수요,Reconstruction Demand,Demand
M_050,정부대미투자,Government Investment in the U.S.,Policy
M_051,AI수요확대,AI Demand Expansion,Demand
M_052,AI추론확대,AI Inference Expansion,Technology
M_053,데이터센터,Data Center,Demand
M_054,5G/6G,5G/6G,Technology
M_055,AI확산,AI Expansion,Technology
M_056,메모리가격상승,Memory Price Increase,MacroEcon
M_057,저금리,Low Interest Rate,MacroEcon
M_058,인구고령화,Population Aging,MacroEcon
M_059,유가상승,Oil Price Increase,MacroEcon
M_060,천연가스가격상승,Natural Gas Price Increase,MacroEcon
M_061,러-우전쟁,Russo-Ukrainian War,Geopolitics
M_062,신재생에너지전환,Renewable Energy Transition,Policy
M_063,외국인수급,Foreign Capital Flow,Demand
M_064,에너지수급,Energy Supply-Demand Balance,MacroEcon
M_065,IT섹터밸류에이션,IT Sector Valuation,MacroEcon
M_066,우주산업확대,Space Industry Expansion,Demand
M_067,사모신용리스크,Private Credit Risk,Risk
M_068,고유가,High Oil Prices,MacroEcon
M_070,트럼프정책리스크,Trump Policy Risk,Policy
M_071,AI데이터센터,AI Data Center,Demand
M_072,금리인상,Interest Rate Increase,MacroEcon
M_073,미국에너지개발확대,US Energy Development Expansion,Policy
M_074,DC건설확대,Data Center Construction Expansion,Demand
M_075,기후변화,Climate Change,MacroEcon
M_076,OPEC감산정책,OPEC Production Cuts,Policy
M_077,해상운송리스크,Maritime Transport Risk,Risk
M_079,중국전략비축확대,China Strategic Reserves Expansion,Demand
M_080,셰일오일투자감소,Shale Oil Investment Decline,Demand
M_081,재생에너지지연,Renewable Energy Delay,Policy
M_082,항공수요증가,Aviation Demand Increase,Demand
M_083,제재,Sanctions,Geopolitics
M_084,중동전쟁,Middle East War,Geopolitics
M_085,AI인프라,AI Infrastructure,Demand
M_086,구글TPU,Google TPU,Technology
M_087,트럼프원전진흥정책,Trump Nuclear Promotion Policy,Policy
M_088,북반구겨울한파,Northern Hemisphere Winter Cold Wave,MacroEcon
M_089,트럼프화석에너지진흥정책,Trump Fossil Energy Promotion Policy,Policy
M_090,서해안전력고속도로,West Coast Power Expressway,Policy
M_091,전력수요확대,Power Demand Expansion,Demand
M_092,설치선(CLV)부족,Cable Laying Vessel Shortage,Risk
M_093,MS파트너십,Microsoft Partnership,Event
M_094,나프타공급불안,Naphtha Supply Disruption,MacroEcon
M_095,유럽환경규제,European Environmental Regulation,Policy
M_096,유럽전력난,European Power Shortage,MacroEcon
M_097,지역분쟁,Regional Conflict,Geopolitics
M_098,전력망투자,Grid Investment,Demand
M_099,곡물수급악화,Grain Supply Deterioration,Supply
M_100,조류독감->수요감소,Avian Influenza -> Demand Decrease,Demand
M_101,돼지열병->수요감소,Swine Fever -> Demand Decrease,Demand
M_102,빅파마특허만료,Big Pharma Patent Expiration,Industry
M_103,AI서버,AI Servers,Demand
M_104,스마트폰,Smartphones,Demand
M_105,반도체,Semiconductors,Demand
M_106,의료,Healthcare,Demand
M_107,우주항공,Aerospace,Demand
M_108,중동분쟁,Middle East Conflict,Geopolitics
M_109,러시아공급지연,Russian Supply Delay,Supply
M_110,ESS확산,ESS Expansion,Demand
M_111,중국리튬정제CAPA,China Policy-led Capacity Expansion,Supply
M_112,통신사CAPEX사이클,Telecom Carrier CAPEX Cycle,Industry
M_113,지정학리스크,Geopolitical Risk,Geopolitics
M_114,로보틱스확대,Robotics Expansion,Technology
M_115,공공IT확대,Public IT Expansion,Demand
M_116,데이터센터확대,Data Center Expansion,Demand
M_117,로보택시확산,Robotaxi Expansion,Technology
M_118,관세불확실성,Tariff Uncertainty,Policy
M_119,연방정부셧다운,Federal Government Shutdown,Event
M_120,MASGA,MASGA,Policy
M_121,LNG가격,LNG Price,MacroEcon
M_122,우크라이나재건,Ukraine Reconstruction,Demand
M_123,중동재건,Middle East Reconstruction,Demand
M_124,중국건설경기,China Construction Cycle,MacroEcon
M_125,북미인프라개발,North America Infrastructure development,Policy
M_126,지주사밸류업/상법개정,Holdco Value-up / Commercial Act Revision,Policy
M_127,엔저,Yen Weakness,MacroEcon
M_128,조선수요증가,Shipbuilding Demand Increase,Demand
M_129,에너지자립정책,Energy Independence Policy,Policy
M_130,다카이치정책,Takaichi Policy,Policy
M_131,군비증강,Military Buildup,Demand
M_132,의사연령별수용성,Doctor Age-based Acceptance,Demand
M_133,입원일수감소니즈,Need for Reduced Length of Stay,Demand
M_134,외래진료소채택(보험수가),Outpatient Clinic Adoption (...),Demand
M_135,OR채택,OR Adoption,Demand
M_136,증시활성화정책,Stock Market Activation Policy,Policy
M_137,거래대금증가,Trading Volume Increase,Demand
M_138,미중갈등,US-China Conflict,Geopolitics
M_139,AI/데이터센터,AI / Data Center,Demand
M_140,DDR5전환,DDR5 Transition,Technology
M_141,중국반도체자립,China Semiconductor Self-Reliance,Policy
M_142,미-중반도체장비갈등,U.S.-China Semiconductor Equipment Conflict,Geopolitics
M_143,저유가,Low Oil Price,MacroEcon
M_144,긍정적소비심리,Positive Consumer Sentiment,Sentiment
M_145,금리인하,Rate Cuts,MacroEcon
M_146,이커머스확대,E-commerce Expansion,Demand
M_147,규제완화,Regulatory Easing,Policy
M_148,가계소비심리,Household Consumption Sentiment,Sentiment
M_149,대출건전성,Credit Underwriting Quality,Risk
M_150,나토군비증강,NATO Armament Augmentation,Geopolitics
M_151,미유럽갈등,US-Europe Conflict,Geopolitics
M_152,신재생에너지확대,Renewable Energy Expansion,Policy
M_153,약달러,Weak Dollar,MacroEcon
M_154,태양광,Solar Power,Demand
M_155,전기차,Electric Vehicle,Demand
M_156,정부육성정책,Government Support Policy,Policy
M_157,글로벌빅파마투자,Global Big Pharma Investment,Demand
M_158,자가면역질환확산,Expansion of Autoimmune Diseases,Demand
M_159,효율화중심정부정책,Efficiency-oriented Government Policy,Policy
M_160,텅스텐가격상승,Tungsten Price Increase,MacroEcon
M_161,AI반도체수요증가,AI Semiconductor Demand Increase,Demand
M_162,~27년구조적쇼티지,Structural Shortage Until 2027,Supply
M_163,구리가격상승,Copper Price Increase,MacroEcon
M_164,비자면제여행규제,Visa-Free Travel Regulation,Policy
M_165,게임판호규제,China Game License Regulation,Policy
M_166,한한령,Korean Wave Restriction,Policy
M_167,NATO군사자립,NATO Military Self-Reliance,Geopolitics
M_168,가스터빈업체공급병목,Gas Turbine Company Supply Bottleneck,Supply
M_169,친환경선박전환,Conversion to Eco-friendly Ships,Policy
M_170,데이터센터발전수요,Data Center Power Generation Demand,Demand
M_171,터빈사주가,Turbine Company Stock Price,Sentiment
M_172,차량운행감소,Reduced Vehicle Operation,MacroEcon
M_173,주주환원정책,Shareholder Return Policy,Policy
M_174,삼성전자지분/배당가치,Samsung Electronics Stake / Dividend Value,Event
M_175,나프타가격하락,Naphtha Price Decline,MacroEcon
M_176,중국화학CAPA감축,China Chemical Capacity Reduction,Supply
M_177,탄소중립,Carbon Neutrality,Policy
M_178,한중관계개선,Korea-China Relations Improvement,Geopolitics
M_179,Spotify가격인상,Spotify Price Increase,Event
M_180,오너리스크,Owner Risk,Risk
M_181,노조파업,Labor Union Strike,Risk
M_182,최저임금상승,Minimum Wage Increase,MacroEcon
M_183,노란봉투법,Yellow Envelope Act,Policy
M_184,해외수출,Overseas Export,Demand
M_185,수소친환경전환,Hydrogen Energy Transition,Policy
M_186,DRAMCAPEX,DRAM Capex,Industry
M_187,HBMCAPEX,HBM Capex,Industry
M_188,미세화,Process Miniaturization,Technology
M_189,적층단수증가,Layer Count Increase,Technology
M_190,비만약,Obesity Drug,Demand
M_191,신약임상성공,New Drug Clinical Trial Success,Event
M_192,기술수출(LO),Technology Licensing Out,Event
M_193,계약해지(Return),Contract Termination Return,Risk
M_194,경영권분쟁,Management Rights Dispute,Risk
M_195,내수소비,Domestic Consumption,Demand
M_196,한미관세협상,Korea-US Tariff Negotiation,Policy
M_198,애플-인텔 공급망 협력,Apple-Intel Supply Chain Partnership,Industry
M_199,인건비상승,Labor Cost Increase,MacroEcon
M_200,AGI범용인공지능,AGI General Artificial Intelligence,Technology
M_201,양산비용다운,Mass Production Cost Reduction,Supply
M_202,고집적화,High Integration,Technology
M_203,고압수소어닐링수요증가,High-pressure Hydrogen Annealing Demand Increase,Demand
M_204,AI생산성개선,AI Productivity Improvement,GrowthDriver
M_205,AI확산공포,Fear of AI Expansion,Sentiment
M_206,원료가격상승(나프타/에탄/LPG),Raw Material Price Increase (Naphtha/Ethane/LPG),MacroEcon
M_207,중국수급밸런스,China Supply-Demand Balance,Supply
M_208,판가상승,Sales Price Increase,MacroEcon
M_209,빅파마협력,Big Pharma Cooperation,Event
M_210,폴더블OLED확산,Foldable OLED Expansion,Technology
M_211,XR확산,XR Expansion,Technology
M_212,AI데이터센터확대,AI Data Center Expansion,Demand
M_213,6G통신인프라투자,6G Communication Infrastructure Investment,Demand
M_214,위성통신확산,Satellite Communication Expansion,Technology
M_215,광통신수요증가,Optical Communication Demand Increase,Demand
M_216,해외수출확대,OverseasExportsExpansion,GrowthDriver
M_217,코코아원가상승,CocoaCostIncrease,Cost
M_218,반도체수출통제,SemiconductorExportControl,Policy
M_219,미중정상회담,USChinaSummit,Event
M_220,양안리스크,CrossStraitIssue,Risk
M_222,ADR중국기업규제,ChinaADRRegulation,Regulation
M_223,중국희토류수출통제,ChinaRareEarthExportControl,Policy
M_225,NVIDIA GPU 의존도축소필요,Need to Reduce Dependency on NVIDIA GPU,Technology
M_226,AI추론확산,Spread of AI Inference,Technology
M_227,일중갈등,Japan-China Conflict,Geopolitics
M_228,중국인무비자정책,Chinese Visa-Free Policy,Policy
M_229,미세공정한계,Process Scaling Limit,Technology
M_230,AI반도체수요확산,AI Semiconductor Demand Expansion,Demand
M_231,의료관광확대,Medical Tourism Expansion,Demand
M_232,리프팅레이저시술확산,Lifting Laser Procedure Adoption,Demand
M_233,코비드대응재수요,Covid Response Material Demand,Demand
M_234,광우병리스크,Mad Cow Disease Risk,Risk
M_069,유동성확대,Liquidity Expansion,MacroEcon
M_235,IPO시장호황,IPO Market Boom,Demand
M_078,중국전략비축확대,China Strategic Reserve Expansion,Demand
M_238,전기차보급확대,EV Adoption Expansion,GrowthDriver
M_239,중국정책CAPA확대,China Policy CAPA Expansion,Supply
M_240,북미인프라벨트,North America Infrastructure Belt,Policy
M_241,개인정보유출,Personal Information Breach,Risk
M_242,9.3항일전쟁열병식,September 3 Anti-Japanese War Victory Parade,Event
M_243,해킹사태,Hacking Incident,Risk
M_244,클라우드,Cloud,Technology
M_245,양자컴퓨팅,Quantum Computing,Technology
M_246,자율주행확산,Autonomous Driving Expansion,Technology
M_247,K-뷰티확산,K-Beauty Expansion,Demand
M_248,비만약확산,Obesity Drug Expansion,Demand
M_249,해외가성비수출수요,Overseas Value-Price Export Demand,Demand
M_250,외국인의료관광수요,Foreign Medical Tourism Demand,Demand
M_251,생성형AI경쟁,Generative AI Competition,Technology
M_197,미국제조업리쇼어링,US Manufacturing Reshoring,Policy
M_252,전력공급병목,Power Supply Bottleneck,Supply
M_221,중국의미국산농산물수입확대,China Increased US Agricultural Imports,Demand
M_224,클라우드확산,Cloud Expansion,Technology
M_253,탈탄소,Decarbonization,Policy
M_254,러우전쟁,RussiaUkraineWar,Geopolitics
M_255,데이터센터확산,DataCenterExpansion,Demand
M_256,보호무역장벽,ProtectionistTradeBarrier,Policy
M_257,사이버보안확산,Cybersecurity Expansion,Demand

M_258,자산가격상승,AssetPriceIncrease,MacroEcon
M_259,반도체성과급,SemiconductorBonusPayout,Demand
M_260,ESG도입,ESG Adoption,Policy
M_261,금융권규제강화,Financial Sector Regulation Strengthening,Policy
M_262,금융시장변동성고조,Financial Market Volatility Surge,Risk
M_263,통화가치변동,Currency Value Volatility,MacroEcon
M_264,비료가상승,Fertilizer Price Increase,MacroEcon
M_265,계절성,Seasonality,Demand
M_266,빅이벤트,Big Event,Demand
M_267,주류세인상,Liquor Tax Increase,Policy
M_268,중국기술자립화,China Tech Self-Reliance,Policy
M_269,안정전원공급수요확대,Stable Power Supply Demand Expansion,Demand
M_270,SaaS멸망공포,SaaS Collapse Fear,Sentiment
M_271,클래리티법안제정논의,CLARITY Act Legislation,Policy
M_272,글로벌소비여행심리,Global Consumer & Travel Sentiment,Sentiment
M_273,유연탄가격,Bituminous Coal Price,MacroEcon
M_274,화물노조파업,Freight Union Strike,Risk
M_275,OLED수요확대,OLED Demand Expansion,Demand
M_276,Agentic AI 확산,Agentic AI Expansion,Technology
M_277,지역정부규제리스크,Local Government Regulation Risk,Risk
M_278,레거시모빌리티와갈등,Conflict with Legacy Mobility,Risk
M_279,수입원다각화,Revenue Diversification,GrowthDriver
M_280,비정형데이터확산,Unstructured Data Expansion,Technology
M_281,앤트로픽Mythos위협,Anthropic Mythos Threat,Risk
M_282,범국가적보안장려정책,National Security Promotion Policy,Policy
M_283,하이브리드근무정상화,Hybrid Work Normalization,Demand
M_284,원달러환율상승,KRW/USD Rate Increase,MacroEcon
M_285,미국소비심리,US Consumer Sentiment,Sentiment
M_286,글로벌브랜드재고감소,Global Brand Inventory Reduction,Industry
M_287,유가안정화,Oil Price Stabilization,MacroEcon
M_288,하이퍼스케일러CAPEX,Hyperscaler CAPEX,Industry
M_289,전력수급,Power Supply-Demand Balance,Industry
M_290,글로벌OEM로봇사업진출,Global OEM Robotics Entry,Industry
M_291,자율주행고도화,Autonomous Driving Advancement,Technology
M_292,공급충격병목,Supply Shock & Bottleneck,Supply
M_293,전기료원가급등,Electricity Cost Surge,MacroEcon
M_294,수출통제,Export Controls,Policy
M_295,산업수요급증,Industrial Demand Surge,Demand
M_296,친환경에너지전환,Green Energy Transition,Technology
M_297,아연기반배터리확산,Zinc-Based Battery Expansion,Technology
M_298,인도건설경기,India Construction Cycle,MacroEcon
M_299,정제원가에너지비용,Refining Energy Cost,MacroEcon
M_300,원광수급밸런스,Ore Supply-Demand Balance,Industry
M_301,제련수급밸런스,Smelting Supply-Demand Balance,Industry
M_302,위험자산선호심리,Risk-On Sentiment,Sentiment
M_303,3세대데이터센터확산,3rd-Gen Data Center Expansion,Technology
M_304,우주산업기대감,Space Industry Sentiment,Sentiment
M_305,우주데이터센터기대감,Space Data Center Sentiment,Sentiment
M_306,재사용발사체고도화,Reusable Launch Vehicle Advancement,Technology
M_307,소버린AI,Sovereign AI,Technology
M_308,엣지AI확산,Edge AI Expansion,Technology
M_309,엣지컴퓨팅확산,Edge Computing Expansion,Technology
M_310,엔비디아엣지컴퓨팅리더십,NVIDIA Edge Computing Leadership,Industry
M_311,방어적투자심리확산,Defensive Investor Sentiment,Sentiment
M_312,가치주투자심리확산,Value Stock Sentiment,Sentiment
M_313,GPU당CPU수요증가,CPU per GPU Demand Increase,Demand
M_314,다단계분산추론증가,Multi-Stage Distributed Inference Expansion,Technology
M_315,온디바이스AI수요확대,On-Device AI Demand Expansion,Demand
M_316,26엘니뇨폭염전력수요,2026 El Nino Heat Wave Power Demand,Demand
M_317,IRA제조세액공제,IRA Manufacturing Tax Credit,Policy
M_318,NEM3.0정책,NEM 3.0 Policy Change,Policy
M_319,25D세액공제폐지,25D Tax Credit Phase-out,Policy
M_320,LDES채택가속,Long-Duration Energy Storage Adoption,Demand
M_321,주거용정책금리,Residential Policy and Interest Rate,Policy
M_322,도메스틱콘텐츠요건,Domestic Content Requirement,Policy
M_323,리튬배터리소재,Lithium Battery Materials,Supply
M_324,이커머스확산,E-commerce Expansion,Demand
M_325,가상자산결제확산,Crypto Payment Expansion,Demand
M_326,9월아이폰신제품출시,September iPhone New Product Launch,EventCycle
M_327,6월선행양산싸이클,June Pre-Production Cycle,EventCycle
M_328,2월보급형라인공개,February Budget Line Reveal,EventCycle
M_329,폴더블아이폰출시,Foldable iPhone Launch,EventCycle
M_330,아이폰AI도입,iPhone AI Adoption,Technology
M_331,건강관심소비트렌드,Health-Conscious Consumer Trend,Demand
M_332,브랜드재고수준,Brand Inventory Level,Industry
M_333,에너지인프라개발,Energy Infrastructure Development,Demand
M_334,토큰증권법시행,Token Security Law Enactment,Policy
M_335,토큰당비용축소니즈,Cost-per-Token Reduction Need,Demand
M_336,고유가플랜트발주증가,High Oil Price Plant Order Increase,Demand
M_337,SMR원전수요확대,SMR Nuclear Demand Expansion,Demand
M_338,GPU효율성개선니즈,GPU Efficiency Improvement Need,Technology
M_339,전력요금인상,Electricity Rate Hike,Policy
M_340,충전요금인하압력,EV Charging Price Deflation Pressure,Industry
M_341,전력원가상승,Power Cost Increase,MacroEcon
M_342,경쟁심화,Competition Intensification,Industry
M_343,인구학적메가트렌드,Demographic Megatrend,MacroEcon
M_344,식량안보,Food Security,Policy
M_345,바이오혁신,Biotech Innovation,Technology
M_346,미국소비강세,US Consumer Strength,Demand
M_347,일본인바운드관광,Japan Inbound Tourism,Demand
M_348,중국EV침투유럽OEM,China EV Penetration into European OEMs,Industry
M_349,미국관세자동차,US Auto Tariff,Policy
M_350,GLP-1비만약사이클,GLP-1 Anti-obesity Cycle,Industry
M_351,종양약개발사이클,Oncology Drug Development Cycle,Industry
M_352,글로벌약가정책,Global Drug Price Policy,Policy
M_353,미국IRA재생에너지,US IRA Renewable Energy Subsidy,Policy
M_354,해상풍력비용인플레,Offshore Wind Cost Inflation,Industry
M_355,신흥국디지털결제침투,EM Digital Payment Penetration,Industry
M_356,모바일보급률ramp,Mobile Adoption Ramp,Technology
M_357,미국달러약세EM자금유입,USD Weakness EM Inflow,MacroEcon
M_358,신흥국GDP성장,EM GDP Growth,MacroEcon
M_359,ECB금리정책,ECB Interest Rate Policy,Policy
M_360,EU통신규제,EU Telecom Regulation,Policy
M_361,EU5G6G배포,EU 5G/6G Deployment,Industry
M_362,미국관세철강,US Steel Tariff,Policy
M_363,미국인프라capex,US Infrastructure Capex,GrowthDriver
M_364,GenZ_vintage트렌드,GenZ Vintage Trend,Demand
M_365,베이비부머은퇴,Baby Boomer Retirement,MacroEcon
M_366,FAA신규형식인증사이클,FAA Type Certification Cycle,Policy
M_367,도심항공모빌리티UAM,Urban Air Mobility (UAM),Industry
M_368,AI가속기GPU_CapEx,AI Accelerator (GPU) CapEx,Demand
M_369,고적층화3D,3D Stack Densification,Technology
M_370,하이브리드본딩전환,Hybrid Bonding Transition,Technology
M_371,메모리3사HBM_capex경쟁,Memory Big-3 HBM CapEx Race,Industry
M_372,글로벌e커머스무역량,Global E-commerce Cross-Border Volume,Demand
M_373,화물항공운임_BAI,Air Cargo Freight Rate (BAI),Industry
M_374,LEO위성통신_ramp,LEO Satellite Communication Ramp,Industry
M_375,AI데이터SaaS_ARR폭증,AI Data SaaS ARR Surge,Demand
M_376,디지털결제전환_BNPL,Digital Payment + BNPL Transition,Demand
M_377,글로벌DC_capex폭증,Global Data Center CapEx Surge,Demand
M_378,중국정부과열경쟁규제조치(26.6~),China Anti-Overheated Competition Regulation (2026.6+),Policy
M_379,건강보험적용확대,Health Insurance Coverage Expansion,Policy
M_380,미국이란종전협상,US-Iran Ceasefire Negotiation,Policy
M_381,CHPS_청정수소발전의무화제도,Clean Hydrogen Portfolio Standard (CHPS),Policy
M_382,그린수소중심정책재정비,Green Hydrogen Policy Restructuring,Policy
M_383,시장조성_전원선택전환,Market Formation to Power Source Selection,Policy
M_384,발전사청정수소비중의무화,Utility Clean Hydrogen Quota Mandate,Policy
M_385,남북관계개선,Inter-Korean Relations Improvement,Geopolitics
M_386,북미관계개선,US-North Korea Relations Improvement,Geopolitics
M_387,글로벌OTT콘텐츠수요,Global OTT Content Demand,Demand
M_388,신경퇴행성신약사이클,Neurodegenerative Drug Cycle,Industry
M_389,항암ADC파이프라인,Oncology ADC Pipeline,Industry
M_390,자가면역바이오시밀러,Autoimmune Biosimilars,Industry
M_391,MASH_FDA승인사이클,MASH FDA Approval Cycle,Industry
M_392,항VEGF망막사이클,Anti-VEGF Retinal Cycle,Industry
M_393,희귀질환FDA우선심사,Rare Disease FDA Priority Review,Policy
M_394,멘탈헬스인식제고,Mental Health Awareness Rise,Demand
M_395,비오피오이드통증신약,Non-Opioid Pain Innovation,Industry
M_396,K바이오기술이전마일스톤,K-Bio License-out Milestones,Industry
M_397,북미nearshoring화물량,North America Nearshoring Cargo Volume,Demand
M_398,PSR_정밀스케줄링철도,Precision Scheduled Railroading,Industry
M_399,미국인프라법IIJA화물,US IIJA Infrastructure Bill - Cargo,Policy
M_400,미국제조리쇼어링_capex,US Manufacturing Reshoring CapEx,Policy
M_401,사모대출_PrivateCredit_사이클,Private Credit Cycle,Industry
M_402,기업레버리지_LBO활성화,Corporate Leverage / LBO Activity,Industry
M_403,AI데이터센터확산,AI Data Center Expansion,Demand
M_404,P_C보험_하드마켓사이클,P&C Insurance Hard Market Cycle,Industry
M_405,액티브패시브_사이클회전,Active vs Passive Cycle Rotation,Industry
M_406,자동차손해율감소,Auto Loss Ratio Decline,Industry
M_407,자연재해보험손실,Natural Disaster Insurance Losses,Industry
M_408,셰일capex_생산성cycle,Shale CapEx & Productivity Cycle,Industry
M_409,미국LNG수출확대,US LNG Export Expansion,Industry
M_410,미국방산국방예산_5pctGDP,US Defense Budget 5pct GDP,Policy
M_411,ESG의무화_폐기물순환경제,ESG Mandate & Waste Circular Economy,Policy
M_412,헬스장비_니치급성장사이클,Med Device Niche Hyper-growth Cycle,Industry
M_413,유전체_정밀의료확대,Genomics & Precision Medicine Expansion,Industry
M_414,원격진료_디지털헬스확대,Telemedicine & Digital Health Expansion,Industry
M_415,펫코노미_가족화_지출증가,Pet Economy - Familization & Spending,Demand
M_416,self_storage_사이클,Self-Storage Cycle,Industry
M_417,산업물류REIT_e커머스창고,Industrial REIT - E-commerce Warehouse,Industry
M_418,5G6G타워_데이터수요,5G/6G Tower - Data Demand,Industry
M_419,senior_housing_인구고령화,Senior Housing - Aging Population,Demand
M_420,비즈니스출장회복_호텔리오프닝,Business Travel Recovery - Hotel Reopening,Demand
M_421,특수화학_니치사이클,Specialty Chemicals - Niche Cycle,Industry
M_422,자동차MRO_aftermarket,Auto MRO Aftermarket,Industry
M_423,BDI(발틱운임)지수,BDI (Baltic Dry Index),Industry
M_424,포장재_e커머스_AI,Packaging - E-commerce + AI,Industry
M_1049,AI전력병목,AI Power Bottleneck,Supply
M_1050,발사비용하락,Launch Cost Decline,Technology
M_1051,우주정책규제,Space Policy & Regulation,Policy
M_1052,비중국공급망에너지안보,Non-China Supply Chain & Energy Security,Geopolitics
M_1053,스페이스X공급망낙수,SpaceX Supply Chain Spillover,Demand
M_1054,한국우주개발정책,Korea Space Development Policy,Policy
M_1055,미-이란전쟁재건수요(원유파이프라인),US-Iran War Reconstruction Demand (Oil Pipeline),Demand
M_1056,중국산덤핑수출,Chinese Dumping Exports,Supply
M_1057,중국공급과잉,Chinese Oversupply,Supply
M_1058,물부족·가뭄심화,Water Scarcity / Drought,Demand
M_1059,노후수도인프라교체,Aging Water Infrastructure Replacement,Demand
M_1060,반도체초순수(UPW)수요,Semiconductor Ultrapure Water Demand,Demand
M_1061,양자컴퓨팅위협(Q-Day),Quantum Computing Threat (Q-Day),Demand
M_1062,NIST PQC표준화,NIST PQC Standardization,Policy
M_1063,국가·국방암호현대화,Government/Defense Crypto Modernization,Policy
M_1064,고령화·기대수명연장,Aging Demographics / Longevity,Demand
M_1065,GLP-1대사노화확장,GLP-1 Metabolic-Aging Expansion,Demand
M_1066,노화세포(세놀리틱)연구진전,Senolytics R&D Progress,Demand
M_1067,폴란드등생산현지화압박/경쟁,Production Localization Pressure (Poland etc.),Geopolitics
M_1068,신속/대량생산체계요구,Rapid / Mass Production Capacity Demand,Demand
M_1069,전쟁초무기소모량폭증,War-Onset Munitions Consumption Surge,Demand
M_1070,저가/합목적적무기체계다변화요구,Low-Cost / Purpose-Fit Weapons Diversification,Demand
M_1071,대형방산업체와다년계약증가,Rising Multi-Year Contracts with Primes,Demand
M_1072,K콘텐츠확산,K-Content Global Expansion,Demand
M_1073,미국빅테크지형재편,BigTechLandscapeReshape,Industry
M_1074,고환율원가압박,,
M_1075,"특허절벽($3,200억·25-35)",,POLICY
M_1076,美시밀러규제완화법(S.1954),,POLICY
M_1077,FDA PK임상간소화(Q&A 4차),,POLICY
M_1078,美약가인하(IRA),,POLICY
M_1079,美중국바이오견제(BIOSECURE),,POLICY
M_1080,전쟁위기_운임/보험료상승,War Risk - Freight/Insurance Premium,Geopolitics
M_1081,애플-중국메모리공급망채용,Apple - China Memory Supply Chain Adoption,Industry
M_1082,메모리반도체가격상승('26),Memory Chip Price Increase (2026),Industry
M_1083,중국경기하강_원유수요부진,China Slowdown - Oil Demand Weakness,Demand
M_1084,미국소액면세폐지_반사이익,US De Minimis Repeal - Spillover,Policy
M_1085,트럼프관세_베트남등생산국,Trump Tariffs - Vietnam Production Base,Policy
M_1086,AI컴퓨트공급과잉신호_메타,AI Compute Oversupply Signal - Meta,Risk
M_1087,오픈USD출시_스테이블코인경쟁,Open USD (OUSD) Launch - Stablecoin Competition,Industry
M_1088,美규제vs중국메모리가상승_물가압력,US Curbs vs China Memory Price - Inflation,Risk
M_1089,중동전쟁-호르무즈리스크 부각,Middle East War - Hormuz Risk,Geopolitics
